spkid,pha,H,e,a,q,i,moid,om,ad,per_y,AMO,APO,ATE,IEO
20507716,1,-2.439503728826671,1.0320689507372551,1.4477863260360553,0.2358750769548494,3.410804606061536,-0.46339647438342335,-1.128969236537019,1.488026322389375,1.4991669857503824,False,True,False,False
54317865,0,0.35157615692352556,0.2642466685959898,-0.7684538829170474,-1.0361516899178262,1.1382383886524716,-0.37685495109243794,-1.3873724080430399,-0.5862896480103796,-0.7908053838560087,False,True,False,False
3726596,0,0.7924556911154097,-1.9642552804589846,-1.314325855565595,0.04907394335816303,0.0857014387134327,-0.6771436102226042,-0.2655952280371043,-1.406368054912608,-1.2252665448880513,False,True,False,False
20208115,1,-0.8946896129574703,-0.46495733308254905,-0.8048453477602839,-0.3423189079872761,1.0773320913684765,-0.7751544920220333,-0.35172961853911117,-0.7792492731638452,-0.8179592064205113,False,True,False,False
3102717,1,-0.9884199076281857,1.6033923352299424,0.37241853991841684,-1.6365839050500337,-0.6451741286945075,-0.5415966460319042,-0.6257935883182243,0.7451317655485324,0.2953475187240977,False,True,False,False
3994621,0,1.452039246205631,-0.3031013046725931,-1.2961301231439766,-1.245191053704595,-0.9544639195897948,-0.8208233922647462,1.6869776331969433,-1.1072806359247367,-1.2162152706998837,False,True,False,False
3748546,1,-0.7697158867298497,-0.23892680919776824,-0.439111126085757,-0.030983685326131338,-0.6194792845278222,-0.6114554660378804,0.7464596924629078,-0.46086589166062714,-0.49211333564647936,False,True,False,False
3840136,1,-1.5022007821195156,1.0008335768335797,-1.7815922641527515,-2.7573907066301544,3.0891432235304364,-0.6979969893288658,-0.1454324363491192,-1.290592279820529,-1.5556380527561668,False,False,True,False
3843802,0,0.13287213602518957,0.24039420125136476,0.6926634305388979,0.8496502302011062,-0.5909294576759495,0.11632746477064744,-0.11217740791736794,0.5521721403950671,0.6392959378744646,True,False,False,False
3699886,0,-0.35313679930444747,-0.14692443515421427,-1.2342646329104745,-1.2852198680467422,0.13138116167642885,-0.2715453866058172,0.6116994900388925,-1.0300967858633503,-1.1619076255708782,False,True,False,False
3766338,1,-1.460542873376975,-0.9522291659798908,-0.5846769854587031,0.5472102996159942,4.5956224204142515,-0.6458635415632119,-0.41437281163147976,-0.740657348133152,-0.6278824484689928,True,False,False,False
3063789,0,0.1675870599773057,0.012659929699110933,-1.5223030771446915,-1.8100421005326714,-0.02183624242862106,-0.756386450826398,-1.3357497766984026,-1.2230564110168158,-1.378233078668083,False,False,True,False
3102786,1,-1.1515800502031346,0.046734883048575086,0.164987190311969,0.45380973281765025,0.40355617766428153,-0.5822607352891142,1.4275110741538608,0.07942105876907637,0.08716821239624398,True,False,False,False
54317889,0,0.3828195884804307,0.3818052576516424,1.1439175945950308,1.16098545286225,-0.43580873178077467,0.9577613117083006,0.27789247499576114,0.9573873532173447,1.1461672924118478,True,False,False,False
20442559,0,-1.8042206205029327,-0.6864445298540681,-0.1516185538241888,0.9741843192655631,2.583811288252291,1.7397630281931085,-0.45168804702292176,-0.3740340603415674,-0.22962638418962047,True,False,False,False
54178994,0,-0.6864000692447685,0.5175371551603419,1.0638563719399106,0.8140690618969754,-0.36824080823134275,0.5302670400299392,-0.04750411134515398,0.9477393719596712,1.055654550530172,True,False,False,False
3078262,1,-0.9294045369095877,-0.34399124869195036,-0.5828574122165411,-0.12438425212447476,1.7292198044862355,-0.5238712737915818,-0.8962807091090383,-0.5959376292680529,-0.6278824484689928,False,True,False,False
20494713,0,-1.3841700406823183,-0.35932497769920924,-0.9212980352586404,-0.6269682544203222,3.4069979624812854,0.4051467653923698,-0.43109699744163393,-0.8371371607098849,-0.9175232224903543,False,True,False,False
3790058,1,-1.2557248220594854,-0.12704737903369334,-0.03334629308366987,0.4182285645135194,-0.18171527279910796,-0.8527290622973264,1.500981485805404,-0.1231865476420624,-0.11195981974344238,False,True,False,False
3012393,1,-1.6723039094848877,1.54376116686838,0.8855381942080519,-1.1784763631343496,1.2134195993624028,-0.6385648588760202,-0.8302540102169276,1.1985868846591765,0.8565265183904861,False,True,False,False
