id,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous,year,proximity_velocity_ratio
2002340,1.1799780058030875,1.1799780058053173,-0.5266270012938412,-0.6236054478169457,-1.1799780058981697,1,1976.0,-0.39280898034417455
54110065,-0.17729282235063126,-0.17729282184883088,1.2147926331079677,1.6332780004148,0.17729282231508672,0,2021.0,0.26790252796444985
3648982,0.833516768316053,0.8335167680472803,-0.2853177832143412,1.474245403752082,-0.8335167681700482,0,2013.0,1.5360580995825637
54054410,1.4403596988937701,1.4403596989650846,0.7296297848622626,0.5727893199057715,-1.4403596989948704,1,2020.0,-0.11130032373541918
2395207,1.4192862833577597,1.419286283483417,1.3471393571662729,-0.8088626074779967,-1.4192862835041904,1,2010.0,-1.0823960811877495
54239559,-0.8630717692767048,-0.8630717679279577,1.0492330927218312,1.500651550554633,0.863071767096522,0,2022.0,0.283195851537701
3841907,-2.131048453630634,-2.131048463566277,0.13559532606831387,-0.3616679403738925,2.1310484618746957,0,2019.0,-0.5025869104495512
54076019,-1.1631000525185609,-1.16310005513927,-0.22658073586911398,-1.459654504310782,1.1631000554383997,0,2020.0,-1.366092963578871
2041429,1.062109749860511,1.0621097497864074,0.18989844296432928,0.4930422294976694,-1.0621097497638599,1,2000.0,0.14644235202341532
2382459,1.5693004276684872,1.5693004275910276,-0.9686459793724859,1.1539868831213338,-1.56930042767513,0,2000.0,2.8019861151438183
2232691,1.3407074458899146,1.3407074460434352,0.8304222829852121,0.3102770552823635,-1.3407074460813182,1,2004.0,-0.3201897687059824
54048892,0.9763873817324752,0.9763873816256868,-0.7827702625154631,1.6793954867340484,-0.9763873816661811,1,2020.0,2.9230146138640807
2484517,2.333658209709929,2.3336582097677194,0.7404660559213986,0.2687203748679292,-2.3336582098794363,1,2008.0,-0.3099418717911591
2162882,1.7514604597663808,1.751460459840348,0.21466944379790856,1.2540916238937923,-1.7514604598826977,1,2001.0,0.7213861359232782
3892653,0.7977991146022432,0.7977991147280614,2.655504909430512,-1.0010638773279836,-0.7977991147960158,1,2019.0,-1.2684882840917688
3651153,1.2621286087185406,1.262128608662843,0.9369424333261414,1.0798120253692864,-1.2621286086584447,1,2013.0,0.09744409581828439
3373917,0.9406697284473613,0.9406697282749634,0.30699801556762985,0.30342595629921165,-0.9406697282921476,0,2007.0,-0.07407067401291234
2366774,2.140782881489565,2.140782881578314,0.49989130093812373,1.0661052748641857,-2.140782881659658,1,2004.0,0.35150819716244086
3574783,1.1549756486420577,1.1549756484701117,-0.152048847721044,-1.1798734595932625,-1.1549756485363465,1,2011.0,-1.1130884549186797
54251533,-0.18086458700841335,-0.1808645873059747,0.9474962025028323,-1.3925691460819585,0.18086458765249058,0,2022.0,-1.3754068586147294
3763428,1.9050463692181419,1.9050463692803121,0.9653815326578146,-0.06380691422678808,-1.9050463693910398,0,2016.0,-0.5919903945097693
54053927,0.5120578881677894,0.5120578876513127,-0.8166632266950259,0.8412246640178601,-0.5120578878037512,0,2020.0,1.8760091695927927
2482650,1.4407168754108892,1.4407168754449404,1.7757238067978702,1.294956056166606,-1.44071687552861,1,2013.0,-0.14294941705859712
3691093,-0.09514221946381655,-0.09514221974736846,-0.09475081218382977,-0.6334155945468577,0.09514221955481053,0,2014.0,-0.6342740795319519
3117460,0.7370791038044822,0.7370791041833583,0.9420449313903132,0.4430323400354314,-0.7370791040601591,0,2002.0,-0.2838017561543097
2155338,1.119257995165815,1.1192579951201618,0.4723641037480957,-0.5778184584212298,-1.119257995162313,1,2006.0,-0.7821207711859497
54117596,-2.709674464472363,-2.709674445659777,-0.9205640212681628,1.2771654761159827,2.7096744465340303,0,2021.0,2.8177045470717927
