"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20000433,N,10.41,0.2228,1.458,1.133,10.83,0.148,AMO,304.29,1.78,1.76,2460200.5
20000719,N,15.59,0.5470,2.636,1.194,11.58,0.201,AMO,183.85,4.08,4.28,2460200.5
20000887,N,13.88,0.5709,2.472,1.061,9.40,0.0789,AMO,110.42,3.88,3.89,2460200.5
20001036,N,9.26,0.5329,2.666,1.245,26.69,0.345,AMO,215.50,4.09,4.35,2460200.5
20001221,N,17.37,0.4357,1.919,1.083,11.88,0.105,AMO,171.32,2.76,2.66,2460200.5
20001566,Y,16.59,0.8269,1.078,0.187,22.80,0.0338,APO,87.95,1.97,1.12,2460200.5
20001580,N,14.69,0.4870,2.198,1.127,52.15,0.136,AMO,62.23,3.27,3.26,2460200.5
20001620,Y,15.27,0.3355,1.246,0.828,13.34,0.03,APO,337.17,1.66,1.39,2460200.5
20001627,N,12.85,0.3964,1.864,1.125,8.45,0.112,AMO,133.12,2.60,2.54,2460200.5
20001685,N,14.33,0.4361,1.368,0.771,9.38,0.0515,APO,274.22,1.96,1.6,2460200.5
20001862,Y,16.10,0.5599,1.471,0.647,6.35,0.0261,APO,35.56,2.29,1.78,2460200.5
20001863,N,15.44,0.6059,2.26,0.891,18.39,0.184,APO,346.42,3.63,3.4,2460200.5
20001864,N,14.88,0.6144,1.461,0.563,22.22,0.269,APO,6.61,2.36,1.77,2460200.5
20001865,N,16.79,0.4669,1.08,0.576,16.10,0.156,APO,212.89,1.58,1.12,2460200.5
20001866,N,12.55,0.5382,1.894,0.875,41.21,0.103,APO,63.46,2.91,2.61,2460200.5
20001915,N,18.05,0.5703,2.544,1.093,20.40,0.108,AMO,162.94,3.99,4.06,2460200.5
20001916,N,14.95,0.4496,2.272,1.251,12.88,0.252,AMO,340.60,3.29,3.43,2460200.5
20001917,N,14.40,0.5057,2.15,1.063,23.96,0.0719,AMO,188.28,3.24,3.15,2460200.5
20001943,N,15.71,0.2560,1.431,1.064,8.71,0.0616,AMO,246.30,1.80,1.71,2460200.5
20001980,N,13.87,0.3647,1.71,1.086,26.87,0.245,AMO,246.55,2.33,2.24,2460200.5
20001981,Y,15.28,0.6501,1.777,0.622,39.82,0.00314,APO,356.85,2.93,2.37,2460200.5
20002059,N,15.98,0.5319,2.642,1.237,11.02,0.244,AMO,200.69,4.05,4.29,2460200.5
20002061,N,16.70,0.5359,2.265,1.051,3.80,0.0553,AMO,207.36,3.48,3.41,2460200.5
20002062,N,17.11,0.1829,0.967,0.790,18.93,0.112,ATE,108.53,1.14,0.951,2460200.5
20002063,N,17.23,0.3494,1.078,0.701,9.43,0.0667,APO,33.06,1.45,1.12,2460200.5
20002100,N,16.23,0.4365,0.832,0.469,15.76,0.15,ATE,170.78,1.20,0.759,2460200.5
20002101,Y,18.72,0.7643,1.874,0.442,1.32,0.0115,APO,349.47,3.31,2.56,2460200.5
20002102,Y,15.97,0.2993,1.29,0.904,64.00,0.0419,APO,94.35,1.68,1.47,2460200.5
20002135,Y,18.05,0.5028,1.6,0.795,23.07,0.00884,APO,191.12,2.40,2.02,2460200.5
20002201,Y,15.35,0.7114,2.178,0.628,2.52,0.0029,APO,74.87,3.73,3.21,2460200.5
20002202,N,17.14,0.5127,2.291,1.116,8.74,0.144,AMO,169.92,3.47,3.47,2460200.5
20002212,N,13.52,0.8374,2.161,0.351,11.54,0.116,APO,27.50,3.97,3.18,2460200.5
20002329,N,14.57,0.6536,2.41,0.835,24.47,0.094,APO,169.28,3.98,3.74,2460200.5
20002340,Y,20.43,0.4499,0.8438,0.464,5.86,0.00662,ATE,211.30,1.22,0.775,2460200.5
20002368,N,15.19,0.4134,2.105,1.235,5.22,0.233,AMO,287.30,2.98,3.06,2460200.5
20002608,N,17.48,0.5681,2.528,1.092,14.54,0.143,AMO,167.09,3.96,4.02,2460200.5
20003102,N,16.17,0.4496,2.151,1.184,8.44,0.183,AMO,172.05,3.12,3.15,2460200.5
20003103,N,15.33,0.3543,1.404,0.907,20.93,0.0791,APO,129.74,1.90,1.66,2460200.5
20003122,Y,14.10,0.4231,1.769,1.020,22.14,0.0445,AMO,336.06,2.52,2.35,2460200.5
20003199,N,15.03,0.2842,1.575,1.127,32.96,0.216,AMO,339.99,2.02,1.98,2460200.5
20003200,Y,14.40,0.8900,1.271,0.140,22.29,0.0196,APO,265.15,2.40,1.43,2460200.5
20003271,N,16.58,0.3959,2.101,1.269,25.07,0.276,AMO,158.82,2.93,3.05,2460200.5
20003288,N,15.35,0.4562,2.033,1.106,5.93,0.101,AMO,218.62,2.96,2.9,2460200.5
20003352,N,15.97,0.3692,1.879,1.185,4.77,0.201,AMO,107.33,2.57,2.57,2460200.5
20003360,N,16.04,0.7455,2.467,0.628,21.14,0.108,APO,242.47,4.31,3.87,2460200.5
20003361,Y,19.56,0.3229,1.21,0.820,2.66,0.0144,APO,188.68,1.60,1.33,2460200.5
20003362,Y,18.52,0.4686,0.9895,0.526,9.92,0.0133,ATE,152.42,1.45,0.984,2460200.5
20003551,N,16.71,0.4873,2.092,1.073,9.51,0.0739,AMO,173.78,3.11,3.03,2460200.5
20003552,N,13.07,0.7078,4.265,1.246,31.09,0.339,AMO,349.94,7.28,8.81,2460200.5
20003553,N,16.43,0.3201,1.644,1.118,36.78,0.293,AMO,232.49,2.17,2.11,2460200.5
20003554,N,15.91,0.2806,0.974,0.701,23.36,0.25,ATE,358.61,1.25,0.961,2460200.5
20003671,Y,16.54,0.5410,2.2,1.009,13.53,0.0217,APO,82.06,3.39,3.26,2460200.5
20003691,N,14.96,0.2841,1.775,1.271,20.35,0.351,AMO,348.72,2.28,2.36,2460200.5
20003752,N,15.20,0.3015,1.414,0.987,55.56,0.0771,APO,147.96,1.84,1.68,2460200.5
20003753,N,15.49,0.5149,0.9978,0.484,19.80,0.0707,ATE,126.20,1.51,0.997,2460200.5
20003757,Y,19.04,0.4457,1.835,1.017,3.87,0.0363,AMO,74.93,2.65,2.49,2460200.5
20003838,N,15.71,0.7023,1.505,0.448,29.20,0.159,APO,235.47,2.56,1.85,2460200.5
20003908,N,17.46,0.4594,1.928,1.042,2.19,0.0558,AMO,261.20,2.81,2.68,2460200.5
20003988,N,17.95,0.3167,1.544,1.055,10.77,0.178,AMO,229.79,2.03,1.92,2460200.5
20004015,Y,16.18,0.6316,2.625,0.967,2.80,0.0427,APO,266.76,4.28,4.25,2460200.5
20004034,Y,18.52,0.4440,1.06,0.589,11.17,0.0194,APO,157.90,1.53,1.09,2460200.5
20004055,N,14.96,0.3262,1.82,1.226,23.26,0.239,AMO,164.82,2.41,2.46,2460200.5
20004179,Y,15.31,0.6247,2.544,0.955,0.45,0.00653,APO,125.34,4.13,4.06,2460200.5
20004183,Y,14.18,0.6360,1.981,0.721,6.67,0.0284,APO,294.35,3.24,2.79,2460200.5
20004197,N,15.03,0.7724,2.294,0.522,12.60,0.0984,APO,7.01,4.07,3.48,2460200.5
20004257,N,16.07,0.4683,1.647,0.876,40.72,0.169,APO,169.16,2.42,2.11,2460200.5
20004341,N,16.08,0.6800,1.834,0.587,11.84,0.194,APO,108.04,3.08,2.48,2460200.5
20004401,N,16.12,0.5632,2.584,1.129,26.63,0.334,AMO,22.79,4.04,4.15,2460200.5
20004450,Y,17.28,0.5868,1.442,0.596,5.52,0.0283,APO,311.77,2.29,1.73,2460200.5
20004486,Y,15.62,0.6625,2.201,0.743,3.04,0.0462,APO,82.22,3.66,3.27,2460200.5
20004487,N,17.49,0.2966,1.73,1.217,16.41,0.219,AMO,198.11,2.24,2.28,2460200.5
20004503,N,15.82,0.5244,2.703,1.286,2.51,0.304,AMO,45.95,4.12,4.45,2460200.5
20004544,N,17.40,0.2502,1.042,0.781,14.14,0.174,APO,23.96,1.30,1.06,2460200.5
20004581,Y,20.74,0.3569,1.023,0.658,4.92,0.00387,APO,180.21,1.39,1.03,2460200.5
20004596,N,16.46,0.5200,2.24,1.075,37.07,0.296,AMO,154.21,3.40,3.35,2460200.5
20004660,Y,18.75,0.3587,1.485,0.953,1.45,0.00426,APO,313.12,2.02,1.81,2460200.5
20004688,N,19.60,0.5179,2.232,1.076,6.38,0.107,AMO,241.23,3.39,3.34,2460200.5
20004769,Y,17.50,0.4832,1.063,0.549,8.88,0.0204,APO,325.53,1.58,1.1,2460200.5
20004947,N,18.08,0.1685,1.37,1.139,15.65,0.149,AMO,215.43,1.60,1.6,2460200.5
20004953,Y,14.95,0.6574,1.621,0.555,24.38,0.0248,APO,77.53,2.69,2.06,2460200.5
20004954,N,12.56,0.4493,2.001,1.102,17.43,0.194,AMO,358.42,2.90,2.83,2460200.5
20004957,N,15.13,0.2188,1.565,1.223,35.01,0.424,AMO,254.88,1.91,1.96,2460200.5
20005011,Y,16.71,0.5000,1.636,0.818,7.41,0.0242,APO,10.64,2.45,2.09,2460200.5
20005131,N,14.86,0.5690,1.486,0.641,36.43,0.275,APO,110.36,2.33,1.81,2460200.5
20005143,N,14.10,0.7713,1.835,0.420,8.98,0.0577,APO,309.19,3.25,2.49,2460200.5
20005189,Y,17.84,0.4780,1.552,0.810,3.58,0.0447,APO,135.07,2.29,1.93,2460200.5
20005324,N,15.43,0.6048,2.985,1.180,19.61,0.23,AMO,352.24,4.79,5.16,2460200.5
20005332,N,15.04,0.4555,2.163,1.178,25.52,0.305,AMO,142.77,3.15,3.18,2460200.5
20005370,N,15.24,0.6371,3.322,1.205,19.17,0.213,AMO,177.80,5.44,6.05,2460200.5
20005381,N,16.75,0.2964,0.9475,0.667,48.97,0.112,ATE,58.53,1.23,0.922,2460200.5
20005496,N,16.15,0.6352,2.435,0.888,68.00,0.0918,APO,101.05,3.98,3.8,2460200.5
20005587,N,13.90,0.5440,2.398,1.093,18.09,0.308,AMO,189.92,3.70,3.71,2460200.5
20005590,N,19.91,0.2796,0.9856,0.710,14.19,0.121,ATE,216.28,1.26,0.979,2460200.5
20005604,Y,17.38,0.4061,0.9286,0.551,4.71,0.034,ATE,311.90,1.31,0.895,2460200.5
20005620,N,17.12,0.4227,2.159,1.246,7.87,0.237,AMO,128.65,3.07,3.17,2460200.5
20005626,N,14.35,0.4548,2.195,1.197,3.85,0.212,AMO,173.10,3.19,3.25,2460200.5
20005645,N,17.25,0.3873,1.355,0.830,13.51,0.0542,APO,45.71,1.88,1.58,2460200.5
20005646,N,15.51,0.4359,2.144,1.209,7.91,0.211,AMO,14.11,3.08,3.14,2460200.5
20005653,N,16.23,0.3044,1.794,1.248,6.88,0.282,AMO,9.90,2.34,2.4,2460200.5
20005660,N,15.52,0.7620,1.785,0.425,38.13,0.162,APO,302.13,3.15,2.39,2460200.5
20005693,Y,16.79,0.5852,1.271,0.527,5.06,0.00598,APO,96.98,2.01,1.43,2460200.5
20005731,N,15.47,0.6519,2.266,0.789,11.20,0.0644,APO,280.59,3.74,3.41,2460200.5
20005751,N,14.96,0.4253,2.101,1.208,16.07,0.239,AMO,121.63,2.99,3.05,2460200.5
20005786,N,17.22,0.8268,1.081,0.187,23.23,0.189,APO,161.29,1.98,1.12,2460200.5
20005797,N,18.89,0.4443,1.894,1.052,4.19,0.0688,AMO,298.93,2.73,2.61,2460200.5
20005828,N,16.03,0.6949,1.698,0.518,30.12,0.397,APO,125.42,2.88,2.21,2460200.5
20005836,N,15.00,0.5364,2.441,1.132,7.95,0.184,AMO,238.72,3.75,3.81,2460200.5
20005863,N,15.85,0.5055,2.223,1.099,19.49,0.236,AMO,168.88,3.35,3.31,2460200.5
20005869,N,17.22,0.3211,1.812,1.230,17.93,0.31,AMO,227.85,2.39,2.44,2460200.5
20005879,N,17.62,0.2891,1.625,1.155,21.57,0.166,AMO,145.83,2.09,2.07,2460200.5
20006037,Y,18.97,0.4997,1.272,0.636,3.51,0.0239,APO,182.22,1.91,1.43,2460200.5
20006047,N,17.84,0.3520,1.455,0.943,23.48,0.139,APO,6.07,1.97,1.75,2460200.5
20006050,N,15.01,0.4371,2.202,1.240,6.40,0.268,AMO,88.16,3.17,3.27,2460200.5
20006053,N,15.10,0.5287,2.147,1.012,21.58,0.222,APO,318.23,3.28,3.15,2460200.5
20006063,N,16.04,0.7622,2.221,0.528,4.96,0.0763,APO,169.06,3.91,3.31,2460200.5
20006178,N,15.78,0.5844,2.814,1.170,4.31,0.179,AMO,64.50,4.46,4.72,2460200.5
20006239,Y,18.61,0.4127,1.151,0.676,3.94,0.0262,APO,344.55,1.63,1.23,2460200.5
20006455,N,14.10,0.5726,2.24,0.958,37.34,0.289,APO,26.90,3.52,3.35,2460200.5
20006456,N,16.07,0.4092,2.192,1.295,8.22,0.281,AMO,313.58,3.09,3.25,2460200.5
20006489,Y,19.22,0.6125,2.486,0.963,2.27,0.0249,APO,209.47,4.01,3.92,2460200.5
20006491,Y,18.74,0.5904,2.502,1.025,5.94,0.0429,AMO,301.88,3.98,3.96,2460200.5
20006569,N,16.68,0.2209,1.626,1.267,22.64,0.254,AMO,111.46,1.99,2.07,2460200.5
20006611,N,16.90,0.4847,1.696,0.874,8.70,0.0597,APO,230.77,2.52,2.21,2460200.5
20007025,N,18.08,0.3149,1.476,1.011,12.61,0.0616,APO,146.60,1.94,1.79,2460200.5
20007088,N,16.84,0.3900,1.981,1.209,8.30,0.224,AMO,102.61,2.75,2.79,2460200.5
20007092,N,15.13,0.6938,2.546,0.780,17.79,0.101,APO,56.73,4.31,4.06,2460200.5
20007236,N,18.41,0.5590,2.725,1.202,16.33,0.202,AMO,308.50,4.25,4.5,2460200.5
20007335,Y,17.70,0.4846,1.772,0.913,15.17,0.0212,APO,61.28,2.63,2.36,2460200.5
20007336,N,18.91,0.4815,2.306,1.196,7.20,0.191,AMO,174.47,3.42,3.5,2460200.5
20007341,Y,16.96,0.5061,1.841,0.909,5.41,0.0485,APO,294.74,2.77,2.5,2460200.5
20007350,N,17.28,0.3911,1.356,0.826,7.26,0.0812,APO,133.11,1.89,1.58,2460200.5
20007358,N,14.75,0.5022,2.199,1.095,4.66,0.124,AMO,265.43,3.30,3.26,2460200.5
20007474,N,18.11,0.2922,1.566,1.108,7.09,0.167,AMO,88.61,2.02,1.96,2460200.5
20007480,N,17.24,0.3170,1.568,1.071,9.45,0.161,AMO,124.37,2.06,1.96,2460200.5
20007482,Y,16.66,0.3294,1.349,0.904,33.47,0.00156,APO,117.86,1.79,1.57,2460200.5
20007753,Y,18.02,0.4816,1.467,0.761,3.12,0.00647,APO,73.39,2.17,1.78,2460200.5
20007822,Y,17.34,0.1646,1.123,0.938,37.12,0.0223,APO,156.85,1.31,1.19,2460200.5
20007839,N,17.85,0.5187,2.165,1.042,27.11,0.136,AMO,102.51,3.29,3.19,2460200.5
20007888,N,15.19,0.6631,2.437,0.821,26.08,0.0875,APO,165.90,4.05,3.81,2460200.5
20007889,N,15.33,0.3462,1.262,0.825,36.91,0.156,APO,111.26,1.70,1.42,2460200.5
20007977,N,15.19,0.4664,2.226,1.188,25.16,0.356,AMO,134.14,3.26,3.32,2460200.5
20008013,N,17.10,0.4313,2.201,1.251,7.57,0.247,AMO,105.55,3.15,3.26,2460200.5
20008014,Y,18.88,0.4562,1.747,0.950,1.87,0.0168,APO,209.84,2.54,2.31,2460200.5
20008034,N,18.02,0.4091,1.83,1.081,2.02,0.0734,AMO,232.83,2.58,2.48,2460200.5
20008035,N,17.11,0.4626,1.342,0.721,28.31,0.274,APO,185.62,1.96,1.55,2460200.5
20008037,N,16.63,0.4173,1.987,1.158,5.91,0.201,AMO,22.39,2.82,2.8,2460200.5
20008176,N,17.03,0.6431,1.575,0.562,39.59,0.193,APO,66.50,2.59,1.98,2460200.5
20008201,N,15.95,0.7065,2.539,0.745,9.55,0.102,APO,164.10,4.33,4.05,2460200.5
20008507,N,17.21,0.5945,1.687,0.684,14.59,0.22,APO,317.41,2.69,2.19,2460200.5
20008566,Y,16.48,0.4303,1.506,0.858,37.98,0.0217,APO,164.12,2.15,1.85,2460200.5
20008567,N,15.39,0.4495,2.045,1.126,8.45,0.121,AMO,177.10,2.96,2.92,2460200.5
20008709,N,17.08,0.4895,2.53,1.292,3.52,0.276,AMO,119.18,3.77,4.03,2460200.5
20009058,N,17.92,0.3597,1.557,0.997,16.09,0.0835,APO,218.30,2.12,1.94,2460200.5
20009162,N,18.02,0.5956,1.497,0.605,9.01,0.0806,APO,180.01,2.39,1.83,2460200.5
20009172,N,16.65,0.5529,2.71,1.212,7.84,0.252,AMO,287.60,4.21,4.46,2460200.5
20009202,N,16.12,0.6077,1.424,0.559,40.80,0.375,APO,315.89,2.29,1.7,2460200.5
20009400,N,14.86,0.5809,2.587,1.084,36.00,0.284,AMO,3.36,4.09,4.16,2460200.5
20009856,Y,17.11,0.6258,2.242,0.839,9.83,0.0222,APO,168.10,3.64,3.36,2460200.5
20009950,N,16.21,0.5329,2.439,1.139,14.59,0.28,AMO,253.46,3.74,3.81,2460200.5
20010115,Y,17.16,0.3248,1.249,0.843,15.32,0.0468,APO,8.90,1.65,1.4,2460200.5
20010145,N,17.01,0.6328,1.901,0.698,4.55,0.0628,APO,328.40,3.10,2.62,2460200.5
20010150,N,15.47,0.5440,2.375,1.083,45.95,0.226,AMO,112.97,3.67,3.66,2460200.5
20010165,N,17.43,0.5037,1.235,0.613,23.90,0.376,APO,312.43,1.86,1.37,2460200.5
20010302,N,19.45,0.1369,1.273,1.099,4.38,0.0817,AMO,104.28,1.45,1.44,2460200.5
20010563,N,16.94,0.2663,1.007,0.739,63.47,0.144,APO,56.56,1.27,1.01,2460200.5
20010636,N,17.70,0.5127,1.884,0.918,13.58,0.11,APO,172.93,2.85,2.59,2460200.5
20010860,N,17.32,0.5743,2.579,1.098,4.15,0.113,AMO,257.21,4.06,4.14,2460200.5
20011054,N,17.08,0.4467,1.979,1.095,3.08,0.122,AMO,339.06,2.86,2.78,2460200.5
20011066,N,15.23,0.3755,1.392,0.869,36.88,0.118,APO,349.23,1.91,1.64,2460200.5
20011284,N,18.26,0.3374,1.74,1.153,1.99,0.167,AMO,311.73,2.33,2.3,2460200.5
20011311,N,15.92,0.5359,2.117,0.983,25.49,0.095,APO,59.32,3.25,3.08,2460200.5
20011398,N,16.41,0.3895,1.72,1.050,15.02,0.202,AMO,144.74,2.39,2.26,2460200.5
20011405,N,15.27,0.3941,1.459,0.884,22.86,0.118,APO,141.26,2.03,1.76,2460200.5
20011500,Y,18.37,0.3558,1.08,0.696,10.31,0.0341,APO,234.39,1.46,1.12,2460200.5
20011885,N,18.52,0.4745,1.703,0.895,19.43,0.0661,APO,359.78,2.51,2.22,2460200.5
20012538,Y,15.97,0.4062,1.541,0.915,24.54,0.0304,APO,220.70,2.17,1.91,2460200.5
20012711,N,16.04,0.2721,1.186,0.863,38.49,0.111,APO,294.97,1.51,1.29,2460200.5
20012923,Y,15.82,0.4918,1.963,0.997,5.30,0.0215,APO,168.18,2.93,2.75,2460200.5
20013553,N,16.54,0.4639,2.189,1.173,5.88,0.189,AMO,193.46,3.20,3.24,2460200.5
20013651,Y,17.89,0.3057,1.336,0.927,17.25,0.0145,APO,116.65,1.74,1.54,2460200.5
20014402,N,18.78,0.4018,1.715,1.026,11.42,0.102,AMO,158.21,2.40,2.25,2460200.5
20014827,Y,18.87,0.6653,2.844,0.952,1.98,0.015,APO,57.94,4.74,4.8,2460200.5
20015745,N,17.43,0.2550,1.72,1.281,14.43,0.296,AMO,132.60,2.16,2.26,2460200.5
20015817,N,18.49,0.1181,1.324,1.168,13.87,0.248,AMO,162.48,1.48,1.52,2460200.5
20016064,N,16.90,0.5894,2.849,1.170,4.54,0.202,AMO,335.56,4.53,4.81,2460200.5
20016636,N,18.78,0.4680,2.31,1.229,7.21,0.24,AMO,296.79,3.39,3.51,2460200.5
20016657,N,16.69,0.4607,2.277,1.228,24.95,0.253,AMO,31.20,3.33,3.44,2460200.5
20016816,N,16.29,0.6038,1.443,0.572,25.92,0.38,APO,37.15,2.31,1.73,2460200.5
20016834,N,15.80,0.4422,1.468,0.819,15.99,0.146,APO,260.77,2.12,1.78,2460200.5
20016912,N,17.92,0.2727,1.751,1.274,24.52,0.321,AMO,169.18,2.23,2.32,2460200.5
20016960,Y,14.42,0.8589,2.2,0.310,17.52,0.018,APO,260.16,4.09,3.26,2460200.5
20017181,N,16.78,0.6739,2.37,0.773,10.65,0.072,APO,113.56,3.97,3.65,2460200.5
20017182,N,17.15,0.5535,1.387,0.619,9.27,0.144,APO,333.51,2.15,1.63,2460200.5
20017188,N,16.41,0.6370,2.216,0.804,29.45,0.0627,APO,269.77,3.63,3.3,2460200.5
20017274,N,16.87,0.5538,2.733,1.220,5.57,0.21,AMO,305.71,4.25,4.52,2460200.5
20017511,N,17.32,0.3589,1.19,0.763,9.58,0.133,APO,355.90,1.62,1.3,2460200.5
20018106,N,17.85,0.5120,2.444,1.193,4.22,0.195,AMO,109.17,3.70,3.82,2460200.5
20018109,N,17.19,0.3679,1.881,1.189,0.81,0.19,AMO,59.54,2.57,2.58,2460200.5
20018172,N,15.71,0.5112,2.425,1.185,17.83,0.364,AMO,338.46,3.66,3.78,2460200.5
20018736,N,15.99,0.4908,2.35,1.197,2.81,0.207,AMO,297.42,3.50,3.6,2460200.5
20018882,N,16.17,0.2319,1.685,1.294,36.81,0.43,AMO,291.68,2.08,2.19,2460200.5
20019356,N,17.01,0.5585,2.511,1.109,3.02,0.118,AMO,186.49,3.91,3.98,2460200.5
20019764,N,16.11,0.4425,2.233,1.245,1.32,0.228,AMO,281.48,3.22,3.34,2460200.5
20020086,N,16.70,0.6234,3.184,1.199,21.78,0.317,AMO,237.14,5.17,5.68,2460200.5
20020236,Y,17.71,0.5608,2.034,0.893,6.51,0.05,APO,111.24,3.17,2.9,2460200.5
20020255,N,18.45,0.4923,2.151,1.092,9.96,0.0998,AMO,180.94,3.21,3.16,2460200.5
20020425,Y,20.51,0.4767,1.565,0.819,6.99,0.00408,APO,227.26,2.31,1.96,2460200.5
20020429,N,17.75,0.4641,1.556,0.834,6.30,0.0566,APO,61.73,2.28,1.94,2460200.5
20020460,N,15.42,0.4117,1.877,1.104,33.94,0.33,AMO,280.03,2.65,2.57,2460200.5
20020790,N,16.66,0.5560,2.752,1.222,8.29,0.239,AMO,302.87,4.28,4.57,2460200.5
20020826,N,13.89,0.6362,2.418,0.880,31.92,0.0925,APO,347.29,3.96,3.76,2460200.5
20021088,N,14.44,0.2385,1.707,1.299,38.45,0.308,AMO,297.84,2.11,2.23,2460200.5
20021277,N,16.17,0.5204,2.378,1.140,20.95,0.313,AMO,167.37,3.62,3.67,2460200.5
20021374,N,17.47,0.1206,1.269,1.116,23.98,0.108,AMO,59.20,1.42,1.43,2460200.5
20022099,N,18.10,0.2762,1.104,0.799,9.85,0.168,APO,136.44,1.41,1.16,2460200.5
20022753,Y,17.69,0.5699,1.219,0.524,3.20,0.0336,APO,307.39,1.91,1.35,2460200.5
20022771,N,16.96,0.5239,1.576,0.751,11.40,0.0631,APO,338.95,2.40,1.98,2460200.5
20023183,N,16.07,0.4009,1.824,1.093,40.97,0.256,AMO,119.65,2.56,2.46,2460200.5
20023187,Y,16.06,0.5892,1.847,0.759,51.33,0.015,APO,164.31,2.94,2.51,2460200.5
20023548,N,17.13,0.5177,2.289,1.104,23.44,0.24,AMO,345.86,3.47,3.46,2460200.5
20023606,N,18.40,0.3611,1.75,1.118,14.36,0.102,AMO,296.61,2.38,2.31,2460200.5
20023714,N,16.86,0.5162,2.128,1.029,8.40,0.0809,AMO,127.85,3.23,3.1,2460200.5
20024443,N,16.42,0.8224,2.311,0.410,25.75,0.151,APO,178.11,4.21,3.51,2460200.5
20024445,N,14.79,0.5460,2.21,1.004,23.78,0.081,APO,203.16,3.42,3.29,2460200.5
20024475,N,16.40,0.4413,1.975,1.104,14.63,0.151,AMO,76.40,2.85,2.78,2460200.5
20024761,N,17.44,0.3059,1.335,0.927,21.92,0.0996,APO,121.05,1.74,1.54,2460200.5
20025143,Y,19.26,0.2803,1.324,0.953,1.62,0.0131,APO,69.08,1.70,1.52,2460200.5
20025330,N,16.79,0.3707,1.541,0.970,14.33,0.173,APO,50.54,2.11,1.91,2460200.5
20025916,N,13.78,0.4983,2.561,1.285,15.75,0.279,AMO,94.64,3.84,4.1,2460200.5
20026166,N,16.82,0.6442,3.302,1.175,14.78,0.272,AMO,185.70,5.43,6,2460200.5
20026310,N,19.35,0.4684,2.14,1.138,5.38,0.158,AMO,210.84,3.14,3.13,2460200.5
20026379,N,18.20,0.5761,1.606,0.681,8.68,0.131,APO,252.10,2.53,2.04,2460200.5
20026663,Y,18.19,0.4717,1.546,0.817,13.53,0.0355,APO,303.61,2.28,1.92,2460200.5
20026760,N,15.51,0.5573,2.852,1.263,11.02,0.259,AMO,146.26,4.44,4.82,2460200.5
20026817,N,19.49,0.5940,2.804,1.138,3.50,0.126,AMO,153.19,4.47,4.69,2460200.5
20027002,Y,18.31,0.4331,1.744,0.989,8.70,0.00209,APO,130.34,2.50,2.3,2460200.5
20027031,N,17.93,0.4249,2.14,1.231,5.36,0.236,AMO,191.84,3.05,3.13,2460200.5
20027346,N,15.90,0.3990,1.875,1.127,36.94,0.444,AMO,135.20,2.62,2.57,2460200.5
20029075,Y,17.28,0.5082,1.698,0.835,12.17,0.0414,APO,356.65,2.56,2.21,2460200.5
20030825,N,14.79,0.6811,2.436,0.777,8.74,0.0703,APO,205.02,4.10,3.8,2460200.5
20030997,N,17.30,0.6434,1.56,0.556,36.26,0.405,APO,38.62,2.56,1.95,2460200.5
20031210,N,16.39,0.5023,2.605,1.297,8.96,0.355,AMO,144.92,3.91,4.21,2460200.5
20031221,N,17.31,0.2571,1.723,1.280,20.22,0.29,AMO,331.03,2.17,2.26,2460200.5
20031345,N,17.62,0.3914,2.016,1.227,6.50,0.234,AMO,222.69,2.80,2.86,2460200.5
20031346,N,17.25,0.4297,2.03,1.157,5.96,0.142,AMO,299.73,2.90,2.89,2460200.5
20031662,N,19.54,0.5478,1.598,0.722,18.82,0.125,APO,13.95,2.47,2.02,2460200.5
20031669,Y,16.15,0.5776,2.137,0.903,9.54,0.00122,APO,78.77,3.37,3.12,2460200.5
20032906,N,16.04,0.4402,2.248,1.258,18.94,0.452,AMO,331.16,3.24,3.37,2460200.5
20033342,Y,18.02,0.4176,0.7188,0.419,7.37,0.01,ATE,81.66,1.02,0.609,2460200.5
20034613,N,16.08,0.3873,2.069,1.268,6.17,0.279,AMO,315.28,2.87,2.98,2460200.5
20035107,Y,16.91,0.1442,1.137,0.973,13.91,0.0262,APO,139.34,1.30,1.21,2460200.5
20035396,Y,17.02,0.4837,1.442,0.745,4.10,0.000305,APO,213.65,2.14,1.73,2460200.5
20035432,N,19.39,0.5452,2.501,1.137,13.14,0.153,AMO,115.32,3.86,3.96,2460200.5
20035670,N,19.57,0.5964,2.122,0.857,7.14,0.0732,APO,271.34,3.39,3.09,2460200.5
20036017,N,19.30,0.3143,1.523,1.045,5.55,0.0782,AMO,332.07,2.00,1.88,2460200.5
20036183,N,16.33,0.3324,1.551,1.036,38.22,0.134,AMO,54.65,2.07,1.93,2460200.5
20036236,N,15.98,0.4237,1.332,0.768,58.04,0.23,APO,241.07,1.90,1.54,2460200.5
20036284,N,15.05,0.5538,1.484,0.662,46.76,0.268,APO,323.16,2.31,1.81,2460200.5
20037336,N,15.79,0.4833,2.253,1.164,36.67,0.351,AMO,223.64,3.34,3.38,2460200.5
20037638,Y,19.29,0.5197,1.913,0.919,5.08,0.0011,APO,145.57,2.91,2.65,2460200.5
20037655,Y,17.85,0.7524,1.478,0.366,18.03,0.0247,APO,139.54,2.59,1.8,2460200.5
20038071,Y,19.57,0.5077,2.089,1.029,12.74,0.0297,AMO,195.49,3.15,3.02,2460200.5
