"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20311925,N,19.75,0.2156,1.433,1.124,4.10,0.134,AMO,49.38,1.74,1.72,2460200.5
20312070,Y,19.42,0.5095,0.9539,0.468,22.63,0.0196,ATE,181.19,1.44,0.932,2460200.5
20312473,N,18.38,0.4569,1.994,1.083,11.85,0.187,AMO,208.81,2.90,2.81,2460200.5
20312942,N,17.35,0.7767,2.262,0.505,9.07,0.059,APO,352.59,4.02,3.4,2460200.5
20312956,N,19.49,0.5409,1.405,0.645,6.62,0.0955,APO,314.21,2.17,1.67,2460200.5
20313276,N,19.86,0.5417,0.8799,0.403,33.00,0.159,ATE,294.69,1.36,0.825,2460200.5
20313538,N,18.52,0.5516,1.687,0.757,14.02,0.0727,APO,271.08,2.62,2.19,2460200.5
20313548,N,19.34,0.3198,1.712,1.165,22.46,0.32,AMO,324.10,2.26,2.24,2460200.5
20313552,N,20.99,0.4227,1.182,0.682,7.92,0.0977,APO,143.19,1.68,1.29,2460200.5
20313809,N,19.32,0.5002,1.195,0.597,30.45,0.394,APO,123.19,1.79,1.31,2460200.5
20314079,N,19.65,0.3109,1.257,0.866,23.87,0.145,APO,326.70,1.65,1.41,2460200.5
20314082,Y,17.50,0.5755,2.237,0.950,16.16,0.0179,APO,116.69,3.52,3.35,2460200.5
20314212,Y,18.57,0.6510,2.132,0.744,6.46,0.0228,APO,316.17,3.52,3.11,2460200.5
20315020,N,18.76,0.3208,1.844,1.253,7.89,0.28,AMO,332.79,2.44,2.5,2460200.5
20315098,N,16.75,0.4175,0.8716,0.508,18.70,0.125,ATE,297.42,1.24,0.814,2460200.5
20315508,N,20.14,0.3204,1.602,1.089,30.01,0.293,AMO,303.00,2.12,2.03,2460200.5
20316695,N,18.93,0.3263,1.793,1.208,21.64,0.209,AMO,13.87,2.38,2.4,2460200.5
20317212,N,18.96,0.3444,1.835,1.203,12.24,0.292,AMO,346.16,2.47,2.49,2460200.5
20317255,Y,19.87,0.5676,1.401,0.606,6.43,0.0398,APO,347.90,2.20,1.66,2460200.5
20317643,N,18.37,0.4397,1.184,0.663,14.64,0.203,APO,40.20,1.70,1.29,2460200.5
20317685,N,18.21,0.3125,1.715,1.179,22.70,0.167,AMO,135.37,2.25,2.25,2460200.5
20318050,N,18.87,0.3389,1.923,1.271,10.93,0.257,AMO,80.82,2.57,2.67,2460200.5
20318160,N,18.39,0.4933,2.261,1.146,0.97,0.159,AMO,219.51,3.38,3.4,2460200.5
20318411,N,17.11,0.6081,2.317,0.908,12.83,0.0829,APO,59.31,3.73,3.53,2460200.5
20318450,N,20.12,0.1540,1.445,1.223,12.46,0.323,AMO,33.48,1.67,1.74,2460200.5
20319988,N,19.43,0.5502,1.396,0.628,5.18,0.0896,APO,290.82,2.16,1.65,2460200.5
20320378,N,21.32,0.2836,1.56,1.118,1.31,0.134,AMO,156.07,2.00,1.95,2460200.5
20322652,N,16.97,0.5742,2.651,1.129,24.35,0.145,AMO,80.03,4.17,4.32,2460200.5
20322705,N,19.30,0.6904,2.524,0.782,12.72,0.129,APO,102.72,4.27,4.01,2460200.5
20322756,N,19.23,0.3827,0.7246,0.447,8.13,0.078,ATE,109.30,1.00,0.617,2460200.5
20322763,N,17.21,0.5361,2.007,0.931,22.83,0.103,APO,352.37,3.08,2.84,2460200.5
20322775,N,17.27,0.5284,2.387,1.126,11.45,0.124,AMO,95.72,3.65,3.69,2460200.5
20322913,N,16.95,0.4621,2.3,1.237,44.99,0.577,AMO,308.14,3.36,3.49,2460200.5
20322966,N,17.02,0.5772,2.901,1.227,37.07,0.221,AMO,77.81,4.58,4.94,2460200.5
20323179,N,18.12,0.6870,1.748,0.547,8.28,0.141,APO,341.93,2.95,2.31,2460200.5
20323300,N,19.64,0.3183,1.169,0.797,10.08,0.137,APO,253.78,1.54,1.26,2460200.5
20325102,N,20.17,0.6268,0.6262,0.234,5.11,0.079,ATE,245.44,1.02,0.496,2460200.5
20325395,Y,17.44,0.0915,0.9327,0.847,18.68,0.0488,ATE,278.66,1.02,0.901,2460200.5
20325769,N,17.88,0.4132,1.903,1.117,11.12,0.11,AMO,344.94,2.69,2.63,2460200.5
20326290,Y,21.83,0.4403,0.8789,0.492,3.38,0.00353,ATE,53.44,1.27,0.824,2460200.5
20326291,N,19.00,0.0622,1.247,1.169,39.33,0.192,AMO,210.81,1.32,1.39,2460200.5
20326302,N,20.58,0.3446,1.387,0.909,12.03,0.051,APO,227.93,1.86,1.63,2460200.5
20326332,N,18.20,0.1971,1.304,1.047,46.85,0.213,AMO,33.68,1.56,1.49,2460200.5
20326354,N,22.78,0.1748,1.14,0.941,5.75,0.0459,APO,14.74,1.34,1.22,2460200.5
20326386,N,18.58,0.4215,1.089,0.630,29.24,0.245,APO,309.51,1.55,1.14,2460200.5
20326388,N,18.39,0.4961,1.274,0.642,17.96,0.233,APO,330.28,1.91,1.44,2460200.5
20326683,N,18.54,0.2160,1.45,1.137,19.15,0.151,AMO,76.30,1.76,1.75,2460200.5
20326732,N,17.64,0.5706,2.711,1.164,6.62,0.163,AMO,161.61,4.26,4.46,2460200.5
20326742,N,18.15,0.3683,1.735,1.096,28.01,0.139,AMO,349.36,2.37,2.29,2460200.5
20326777,N,17.77,0.3896,1.746,1.066,19.41,0.229,AMO,234.46,2.43,2.31,2460200.5
20326946,N,18.49,0.3801,1.866,1.157,40.12,0.343,AMO,185.55,2.57,2.55,2460200.5
20327140,N,19.89,0.3740,1.745,1.092,21.83,0.117,AMO,19.96,2.40,2.3,2460200.5
20328059,N,19.65,0.1665,1.439,1.199,14.20,0.273,AMO,56.84,1.68,1.73,2460200.5
20329275,N,20.08,0.3045,1.379,0.959,12.82,0.0938,APO,227.09,1.80,1.62,2460200.5
